state,x,y,hint
Alabama,139,-77,Montgomery
Alaska,-204,-170,Juneau
Arizona,-203,-40,Phoenix
Arkansas,57,-53,Little Rock
California,-297,13,Sacramento
Colorado,-112,20,Denver
Connecticut,297,96,Hartford
Delaware,275,42,Dover
Florida,220,-145,Tallahassee
Georgia,182,-75,Atlanta
Hawaii,-317,-143,Honolulu
Idaho,-216,122,Boise
Illinois,95,37,Springfield
Indiana,133,39,Indianapolis
Iowa,38,65,Des Moines
Kansas,-17,5,Topeka
Kentucky,149,1,Frankfort
Louisiana,59,-114,Baton Rouge
Maine,319,164,Augusta
Maryland,288,27,Annapolis
Massachusetts,312,112,Boston
Michigan,148,101,Lansing
Minnesota,23,135,St. Paul
Mississippi,94,-78,Jackson
Missouri,49,6,Jefferson City
Montana,-141,150,Helena
Nebraska,-61,66,Lincoln
Nevada,-257,56,Carson City
New Hampshire,302,127,Concord
New Jersey,282,65,Trenton
New Mexico,-128,-43,Santa Fe
New York,236,104,Albany
North Carolina,239,-22,Raleigh
North Dakota,-44,158,Bismarck
Ohio,176,52,Columbus
Oklahoma,-8,-41,Oklahoma City
Oregon,-278,138,Salem
Pennsylvania,238,72,Harrisburg
Rhode Island,318,94,Providence
South Carolina,218,-51,Columbia
South Dakota,-44,109,Pierre
Tennessee,131,-34,Nashville
Texas,-38,-106,Austin
Utah,-189,34,Salt Lake City
Vermont,282,154,Montpelier
Virginia,234,12,Richmond
Washington,-257,193,Olympia
West Virginia,200,20,Charleston
Wisconsin,83,113,Madison
Wyoming,-134,90,Cheyenne
